time,device_id,lat,lng,speed,direction
2026-04-28 20:48:17,014084725763,34.252978,108.993854,41.0,0
2026-04-28 20:48:19,014084725763,34.252995,108.994039,41.8,40
2026-04-28 20:48:24,014084725763,34.253090,108.994084,42.7,88
2026-04-28 20:48:29,014084725763,34.253090,108.994084,42.7,88
2026-04-28 20:48:34,014084725763,34.253109,108.994168,43.2,43
2026-04-28 20:48:35,014084725763,34.253109,108.994168,43.2,43
2026-04-28 20:48:42,014084725763,34.253232,108.994329,42.5,36
2026-04-28 20:48:43,014084725763,34.253228,108.994329,42.4,42
2026-04-28 20:48:45,014084725763,34.253217,108.994345,42.3,39
2026-04-28 20:48:46,014084725763,34.253209,108.994345,42.2,25
2026-04-28 20:48:46,014084725763,34.253209,108.994345,42.2,25
2026-04-28 20:48:47,014084725763,34.253209,108.994360,42.3,42
2026-04-28 20:48:48,014084725763,34.253209,108.994360,42.2,39
2026-04-28 20:48:49,014084725763,34.253213,108.994375,42.3,31
2026-04-28 20:48:50,014084725763,34.253213,108.994398,42.2,33
2026-04-28 20:48:52,014084725763,34.253213,108.994398,42.3,37
2026-04-28 20:48:54,014084725763,34.253221,108.994430,42.3,35
2026-04-28 20:48:56,014084725763,34.253224,108.994445,42.3,32
2026-04-28 20:48:56,014084725763,34.253224,108.994445,42.3,32
2026-04-28 20:48:57,014084725763,34.253224,108.994460,42.3,28
2026-04-28 20:48:58,014084725763,34.253221,108.994475,42.2,35
2026-04-28 20:49:00,014084725763,34.253217,108.994491,42.2,41
2026-04-28 20:49:00,014084725763,34.253213,108.994491,42.2,40
2026-04-28 20:49:02,014084725763,34.253213,108.994491,42.2,40
2026-04-28 20:49:03,014084725763,34.253213,108.994491,42.2,29
2026-04-28 20:49:07,014084725763,34.253210,108.994575,42.2,35
2026-04-28 20:49:08,014084725763,34.253210,108.994575,42.2,35
2026-04-28 20:49:08,014084725763,34.253210,108.994590,42.2,39
2026-04-28 20:49:10,014084725763,34.253210,108.994605,42.2,31
2026-04-28 20:49:12,014084725763,34.253195,108.994643,42.2,29
2026-04-28 20:49:13,014084725763,34.253195,108.994643,42.2,29
2026-04-28 20:49:13,014084725763,34.253195,108.994660,42.3,32
2026-04-28 20:49:17,014084725763,34.253183,108.994690,42.3,41
2026-04-28 20:49:18,014084725763,34.253180,108.994705,42.3,30
2026-04-28 20:49:19,014084725763,34.253176,108.994721,42.3,43
2026-04-28 20:49:20,014084725763,34.253168,108.994736,42.3,45
2026-04-28 20:49:21,014084725763,34.253164,108.994736,42.3,34
2026-04-28 20:49:21,014084725763,34.253161,108.994751,42.3,37
2026-04-28 20:49:22,014084725763,34.253161,108.994751,42.3,37
2026-04-28 20:49:23,014084725763,34.253161,108.994774,42.3,38
2026-04-28 20:49:24,014084725763,34.253161,108.994774,42.3,33
2026-04-28 20:49:25,014084725763,34.253161,108.994774,42.3,33
2026-04-28 20:49:25,014084725763,34.253157,108.994789,42.3,56
2026-04-28 20:49:26,014084725763,34.253157,108.994804,42.3,23
2026-04-28 20:49:27,014084725763,34.253157,108.994804,42.3,34
2026-04-28 20:49:28,014084725763,34.253157,108.994804,42.3,34
2026-04-28 20:49:31,014084725763,34.253157,108.994850,42.4,42
2026-04-28 20:49:32,014084725763,34.253164,108.994866,42.4,23
2026-04-28 20:49:33,014084725763,34.253172,108.994866,42.4,39
2026-04-28 20:49:34,014084725763,34.253177,108.994889,42.4,40
2026-04-28 20:49:35,014084725763,34.253181,108.994889,42.4,32
2026-04-28 20:49:36,014084725763,34.253188,108.994905,42.4,58
2026-04-28 20:49:37,014084725763,34.253196,108.994905,42.4,32
2026-04-28 20:49:38,014084725763,34.253219,108.994889,42.3,68
2026-04-28 20:49:38,014084725763,34.253219,108.994889,42.3,68
2026-04-28 20:49:39,014084725763,34.253234,108.994866,42.3,79
2026-04-28 20:49:41,014084725763,34.253268,108.994866,42.2,55
2026-04-28 20:49:43,014084725763,34.253276,108.994866,42.2,21
2026-04-28 20:49:43,014084725763,34.253276,108.994866,42.2,21
2026-04-28 20:49:44,014084725763,34.253291,108.994889,42.2,19
2026-04-28 20:49:46,014084725763,34.253303,108.994889,42.1,25
2026-04-28 20:49:47,014084725763,34.253310,108.994889,42.1,27
2026-04-28 20:49:48,014084725763,34.253318,108.994889,42.1,19
2026-04-28 20:49:49,014084725763,34.253318,108.994889,42.1,19
2026-04-28 20:49:50,014084725763,34.253326,108.994889,42.1,42
2026-04-28 20:49:50,014084725763,34.253345,108.994889,42.0,36
2026-04-28 20:49:53,014084725763,34.253379,108.994905,42.0,47
2026-04-28 20:49:54,014084725763,34.253379,108.994905,42.0,47
2026-04-28 20:49:55,014084725763,34.253379,108.994905,42.0,39
2026-04-28 20:49:56,014084725763,34.253406,108.994889,42.1,25
2026-04-28 20:49:59,014084725763,34.253497,108.994850,41.9,30
2026-04-28 20:49:59,014084725763,34.253497,108.994850,41.9,30
2026-04-28 20:50:02,014084725763,34.253551,108.994835,41.9,33
2026-04-28 20:50:03,014084725763,34.253546,108.994820,41.8,29
2026-04-28 20:50:04,014084725763,34.253542,108.994804,41.9,21
2026-04-28 20:50:04,014084725763,34.253542,108.994804,41.9,21
